Frame#,Time,Angle
1575,26.233,160.01546
1576,26.25,159.01622
1577,26.267,157.77858
1578,26.283,156.33943
1579,26.3,154.75565
1580,26.317,153.08607
1581,26.333,151.36923
1582,26.35,149.61652
1583,26.367,147.82095
1584,26.383,145.96935
1585,26.4,144.04892
1586,26.417,142.05013
1587,26.433,139.97279
1588,26.45,137.83083
1589,26.467,135.64995
1590,26.483,133.46536
1591,26.5,131.31802
1592,26.517,129.24561
1593,26.533,127.27392
1594,26.55,125.41499
1595,26.567,123.66697
1596,26.583,122.01878
1597,26.6,120.46085
1598,26.617,118.99116
1599,26.633,117.60949
1600,26.65,116.30961
1601,26.667,115.07867
1602,26.683,113.90223
1603,26.7,112.76723
1604,26.717,111.6636
1605,26.733,110.59322
1606,26.75,109.57664
1607,26.767,108.64743
1608,26.783,107.84412
1609,26.8,107.20333
1610,26.817,106.75369
1611,26.833,106.51552
1612,26.85,106.50331
1613,26.867,106.72631
1614,26.883,107.18694
1615,26.9,107.8783
1616,26.917,108.78513
1617,26.933,109.88802
1618,26.95,111.16476
1619,26.967,112.58708
1620,26.983,114.12202
1621,27,115.74132
1622,27.017,117.4268
1623,27.033,119.16766
1624,27.05,120.95767
1625,27.067,122.79567
1626,27.083,124.68878
1627,27.1,126.65102
1628,27.117,128.69138
1629,27.133,130.80052
1630,27.15,132.95042
1631,27.167,135.11069
1632,27.183,137.26471
1633,27.2,139.4113
1634,27.217,141.55507
1635,27.233,143.69429
1636,27.25,145.81227
1637,27.267,147.87996
1638,27.283,149.86838
1639,27.3,151.75899
1640,27.317,153.54271
1641,27.333,155.20813
1642,27.35,156.7328
1643,27.367,158.08737
1644,27.383,159.24409
1645,27.4,160.18242
1646,27.417,160.89354
1647,27.433,161.38417
1648,27.45,161.67595
1649,27.467,161.79985
1650,27.483,161.79008
1651,27.5,161.67606
1652,27.517,161.47499
1653,27.533,161.19702
1654,27.55,160.85893
1655,27.567,160.48682
1656,27.583,160.10722
1657,27.6,159.74112
1658,27.617,159.40599
1659,27.633,159.11676
1660,27.65,158.88271
1661,27.667,158.70528
1662,27.683,158.57959
1663,27.7,158.49689
1664,27.717,158.44711
1665,27.733,158.42076
1666,27.75,158.41037
1667,27.767,158.41225
1668,27.783,158.42542
1669,27.8,158.44992
1670,27.817,158.48602
1671,27.833,158.53358
1672,27.85,158.59148
1673,27.867,158.65712
1674,27.883,158.72659
1675,27.9,158.79515
1676,27.917,158.85818
1677,27.933,158.91364
1678,27.95,158.96481
1679,27.967,159.02161
1680,27.983,159.09917
1681,28,159.21443
1682,28.017,159.38013
1683,28.033,159.60031
1684,28.05,159.87
1685,28.067,160.17856
1686,28.083,160.51593
1687,28.1,160.87569
1688,28.117,161.24921
1689,28.133,161.61555
1690,28.15,161.93614
1691,28.167,162.15475
1692,28.183,162.201
1693,28.2,162.00063
1694,28.217,161.49547
1695,28.233,160.6662
1696,28.25,159.53972
1697,28.267,158.17662
1698,28.283,156.65254
1699,28.3,155.03938
1700,28.317,153.38918
1701,28.333,151.72899
1702,28.35,150.0665
1703,28.367,148.39565
1704,28.383,146.70042
1705,28.4,144.96277
1706,28.417,143.17381
1707,28.433,141.34023
1708,28.45,139.47763
1709,28.467,137.59792
1710,28.483,135.70313
1711,28.5,133.79376
1712,28.517,131.88165
1713,28.533,129.99269
1714,28.55,128.15877
1715,28.567,126.40343
1716,28.583,124.72756
1717,28.6,123.11084
1718,28.617,121.53028
1719,28.633,119.97855
1720,28.65,118.46947
1721,28.667,117.02633
1722,28.683,115.6639
1723,28.7,114.38253
1724,28.717,113.17187
1725,28.733,112.01725
1726,28.75,110.9083
1727,28.767,109.84747
1728,28.783,108.85244
1729,28.8,107.94974
1730,28.817,107.1649
1731,28.833,106.51634
1732,28.85,106.01678
1733,28.867,105.67802
1734,28.883,105.51582
1735,28.9,105.54911
1736,28.917,105.79393
1737,28.933,106.25685
1738,28.95,106.93105
1739,28.967,107.79379
1740,28.983,108.80779
1741,29,109.92903
1742,29.017,111.11776
1743,29.033,112.34834
1744,29.05,113.61529
1745,29.067,114.9312
1746,29.083,116.31566
1747,29.1,117.78235
1748,29.117,119.33167
1749,29.133,120.954
1750,29.15,122.64253
1751,29.167,124.40049
1752,29.183,126.23238
1753,29.2,128.13121
1754,29.217,130.07718
1755,29.233,132.04422
1756,29.25,134.00668
1757,29.267,135.94489
1758,29.283,137.84999
1759,29.3,139.72305
1760,29.317,141.56735
1761,29.333,143.38411
1762,29.35,145.17693
1763,29.367,146.95279
1764,29.383,148.71635
1765,29.4,150.46638
1766,29.417,152.19415
1767,29.433,153.88008
1768,29.45,155.49345
1769,29.467,156.99715
1770,29.483,158.35338
1771,29.5,159.52763
1772,29.517,160.4953
1773,29.533,161.24863
1774,29.55,161.79102
1775,29.567,162.12503
1776,29.583,162.25279
1777,29.6,162.18924
1778,29.617,161.96938
1779,29.633,161.64006
1780,29.65,161.2453
1781,29.667,160.81694
1782,29.683,160.37564
1783,29.7,159.93701
1784,29.717,159.51643
1785,29.733,159.13287
1786,29.75,158.80766
1787,29.767,158.55678
1788,29.783,158.38539
1789,29.8,158.2885
1790,29.817,158.25461
1791,29.833,158.27029
1792,29.85,158.32327
1793,29.867,158.40268
1794,29.883,158.49767
